date,product,quantity,price
2023-01-01,Apple,150,0.5
2023-01-02,Banana,200,0.3
2023-01-03,Orange,100,0.4
2023-01-04,Grapes,180,1.2
2023-01-05,Watermelon,50,3.0
2023-02-01,Apple,140,0.55
2023-02-02,Banana,220,0.32
2023-02-03,Orange,90,0.45
2023-02-04,Grapes,170,1.25
2023-02-05,Watermelon,55,3.1
2023-03-01,Apple,160,0.5
2023-03-02,Banana,210,0.33
2023-03-03,Orange,110,0.42
2023-03-04,Grapes,190,1.3
2023-03-05,Watermelon,45,2.9
2023-04-01,Apple,155,0.5
2023-04-02,Banana,195,0.34
2023-04-03,Orange,95,0.4
2023-04-04,Grapes,185,1.2
2023-04-05,Watermelon,60,3.0
2023-05-01,Apple,150,0.52
2023-05-02,Banana,205,0.35
2023-05-03,Orange,100,0.44
2023-05-04,Grapes,175,1.28
2023-05-05,Watermelon,50,2.95
2023-06-01,Apple,145,0.53
2023-06-02,Banana,210,0.36
2023-06-03,Orange,105,0.43
2023-06-04,Grapes,180,1.22
2023-06-05,Watermelon,55,3.1
2023-07-01,Apple,160,0.5
2023-07-02,Banana,215,0.37
2023-07-03,Orange,115,0.41
2023-07-04,Grapes,195,1.3
2023-07-05,Watermelon,60,3.2
2023-08-01,Apple,150,0.5
2023-08-02,Banana,200,0.3
2023-08-03,Orange,100,0.4
2023-08-04,Grapes,180,1.2
2023-08-05,Watermelon,50,3.0
2023-09-01,Apple,140,0.55
2023-09-02,Banana,220,0.32
2023-09-03,Orange,90,0.45
2023-09-04,Grapes,170,1.25
2023-09-05,Watermelon,55,3.1
2023-10-01,Apple,160,0.5
2023-10-02,Banana,210,0.33
2023-10-03,Orange,110,0.42
2023-10-04,Grapes,190,1.3
2023-10-05,Watermelon,45,2.9
2023-11-01,Apple,155,0.5
2023-11-02,Banana,195,0.34
2023-11-03,Orange,95,0.4
2023-11-04,Grapes,185,1.2
2023-11-05,Watermelon,60,3.0
2023-12-01,Apple,150,0.52
2023-12-02,Banana,205,0.35
2023-12-03,Orange,100,0.44
2023-12-04,Grapes,175,1.28
2023-12-05,Watermelon,50,2.95
